Nation,Cement 2020 (Gg),Cement 2021 (Gg),Clinker 2020 (Gg),Clinker 2021 (Gg)
United States (includes Puerto Rico),89000,92000,100000,100000
Brazil,61000,65000,60000,60000
China,2400000,2500000,2000000,2000000
Egypt,42000,40000,48000,48000
India,295000,330000,280000,280000
Indonesia,65000,66000,78000,79000
Iran,68000,62000,81000,81000
Japan,51000,52000,53000,54000
Korea Republic of,48000,48000,50000,60000
Mexico,48000,50000,42000,42000
Russia,56000,56000,80000,80000
Saudi Arabia,53000,55000,75000,75000
Turkey,72000,76000,92000,92000
Vietnam,98000,100000,90000,90000
Other countries (rounded),760000,810000,600000,600000
World total (rounded),4200000,4400000,3700000,3700000
