100,AFGHANISTAN
200,ALBANIA
300,ALGERIA
400,ANGOLA
600,ANTIGUA & BARBUDA
700,ARGENTINA
17208,ARMENIA
800,AUSTRALIA
900,AUSTRIA
17209,AZERBAIJAN
1000,BAHAMAS
1100,BAHRAIN
1200,BANGLADESH
1300,BARBADOS
17204,BELARUS
1400,BELGIUM
1500,BELIZE
1600,BENIN
1700,BERMUDA
1800,BHUTAN
1900,BOLIVIA
2000,BOTSWANA
2100,BRAZIL
2200,BRUNEI
2300,BULGARIA
2400,BURKINA FASO
2600,BURUNDI
8600,CAMBODIA
2800,CANADA
2900,CAPE VERDE
3000,CENTRAL AFRICAN REPUBLIC
3100,CHAD
3200,CHILE
3300,CHINA
3400,COLOMBIA
3500,COMOROS
3600,CONGO
3700,COOK ISLANDS
3800,COSTA RICA
8200,COTE D IVOIRE
3900,CUBA
4000,CYPRUS
4101,CZECH REPUBLIC
8900,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA
18200,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)
4200,DENMARK
4300,DJIBOUTI
4400,DOMINICA
4500,DOMINICAN REPUBLIC
4600,ECUADOR
4700,EGYPT
4800,EL SALVADOR
4900,EQUATORIAL GUINEA
17201,ESTONIA
5000,ETHIOPIA
5200,FAEROE ISLANDS
5100,FALKLAND ISLANDS (MALVINAS)
5300,FIJI
5400,FINLAND
5500,FRANCE (INCLUDING MONACO)
5600,FRENCH GUIANA
5700,FRENCH POLYNESIA
5800,GABON
5900,GAMBIA
17207,GEORGIA
6000,GERMANY
6100,GHANA
6200,GREECE
6300,GREENLAND
6400,GRENADA
6500,GUADELOUPE
6600,GUATEMALA
6700,GUINEA
6800,GUINEA BISSAU
6900,GUYANA
7000,HAITI
7100,HONDURAS
7200,HONG KONG
7300,HUNGARY
7400,ICELAND
7500,INDIA
7600,INDONESIA
7800,IRAQ
7900,IRELAND
7700,ISLAMIC REPUBLIC OF IRAN
8000,ISRAEL
8100,ITALY (INCLUDING SAN MARINO)
8300,JAMAICA
8400,JAPAN
8500,JORDAN
17214,KAZAKHSTAN
8700,KENYA
8800,KIRIBATI
9100,KUWAIT
17215,KYRGYZSTAN
9200,LAOS
17202,LATVIA
9300,LEBANON
9500,LIBERIA
9600,LIBYA
17203,LITHUANIA
9800,LUXEMBOURG
9900,MADAGASCAR
10000,MALAWI
10100,MALAYSIA
10200,MALDIVES
10300,MALI
10400,MALTA
10500,MARTINIQUE
10600,MAURITANIA
10700,MAURITIUS
10800,MEXICO
10900,MONGOLIA
11000,MOROCCO
11100,MOZAMBIQUE
2500,MYANMAR
11200,NAMIBIA
11300,NAURU
11400,NEPAL
11500,NETHERLANDS
11700,NEW CALEDONIA
11800,NEW ZEALAND
11900,NICARAGUA
12000,NIGER
12100,NIGERIA
12200,NORWAY
12300,OMAN
12400,PAKISTAN
12600,PANAMA
12700,PAPUA NEW GUINEA
12800,PARAGUAY
12900,PERU
13000,PHILIPPINES
13100,POLAND
13200,PORTUGAL
13300,QATAR
2700,REPUBLIC OF CAMEROON
9000,REPUBLIC OF KOREA
17205,REPUBLIC OF MOLDOVA
13400,REUNION
13500,ROMANIA
17210,RUSSIAN FEDERATION
13600,RWANDA
13800,SAINT LUCIA
17800,SAMOA
14100,SAO TOME & PRINCIPE
14200,SAUDI ARABIA
14300,SENEGAL
14400,SEYCHELLES
14500,SIERRA LEONE
14600,SINGAPORE
4102,SLOVAKIA
14700,SOLOMON ISLANDS
14800,SOMALIA
14900,SOUTH AFRICA
15000,SPAIN
15100,SRI LANKA
13750,ST. KITTS-NEVIS-ANGUILLA
13900,ST. VINCENT & THE GRENADINES
15200,SUDAN
15300,SURINAME
15400,SWAZILAND
15500,SWEDEN
15600,SWITZERLAND
15700,SYRIAN ARAB REPUBLIC
15800,TAIWAN
17211,TAJIKISTAN
16000,THAILAND
16100,TOGO
16200,TONGA
16300,TRINIDAD AND TOBAGO
16400,TUNISIA
16500,TURKEY
17212,TURKMENISTAN
16800,UGANDA
17206,UKRAINE
16900,UNITED ARAB EMIRATES
17000,UNITED KINGDOM
15900,UNITED REPUBLIC OF TANZANIA
17100,UNITED STATES OF AMERICA
17300,URUGUAY
17213,UZBEKISTAN
17400,VANUATU
17500,VENEZUELA
17600,VIET NAM
17950,YEMEN
18100,YUGOSLAVIA
18300,ZAMBIA
18400,ZIMBABWE
